,region,total gpd,capita,per capita,
0,Bulgaria,85800.68,"6,877.74",12475.127,
1,Hrvatska,67989.5,"3,957.72",17178.95657,
2,Kýpros,27777,900.35,30851.33559,
3,Malta,17450.2,518.68,33643.4796,
4,România,284173.63,"19,126.30",14857.74196,
5,Crna Gora,5924.02,619.21,9567.061255,
6,Severna Makedonija,12897.79,"1,837.11",7020.695549,
7,Serbia,60426.54,"6,834.33",8841.61871,
8,Severozapaden,5743.09,676.77,8486.029227,
9,Severen tsentralen,6179.79,690.65,8947.788315,
10,Severoiztochen,8522.38,825.76,10320.65007,
11,Yugoiztochen,11323.72,951.03,11906.79579,
12,Yugozapaden,41959.95,2017.53,20797.68331,
13,Yuzhen tsentralen,12071.76,1303.36,9262.030444,
14,"Anatoliki Makedonia, Thraki",8116.83,588.84,13784.4406,
15,Panonska Hrvatska,12273.88,1113.73,11020.51664,
16,Jadranska Hrvatska,21604.31,1289.58,16752.98159,
17,Grad Zagreb,23122.66,724.12,31932.08308,
18,Sjeverna Hrvatska,10988.64,780.39,14080.95952,
19,"Hatay, Kahramanmaraş, Osmaniye",22844.61,3408.96,6701.342932,
20,Kýpros,27777,900.35,30851.33559,
23,Nord-Vest,34951.98,"2,530.88",13810.20831,
24,Centru,32059.77,"2,288.70",14007.85162,
25,Nord-Est,29504.31,"3,193.25",9239.586628,
26,Sud-Est,28129.55,"2,357.25",11933.20607,
27,Sud-Muntenia,32038.41,"2,862.64",11191.91026,
28,Bucureşti-Ilfov,80393.66,"2,297.82",34986.92674,
29,Sud-Vest Oltenia,21099.21,"1,881.34",11214.99038,
30,Vest,25845.5,"1,714.44",15075.1849,
32,Crna Gora,5924.02,619.21,9567.061255,
33,Severna Makedonija,12897.79,"1,837.11",7020.695549,
34,City of Belgrade,24177.11,"1,688.67",14317.24967,
35,Autonomous Province of Vojvodina,15932.11,"1,825.98",8725.237954,
36,Region Šumadije i Zapadne Srbije,11120.9,"1,867.55",5954.8071,
37,Region Južne i Istočne Srbije,9172.23,"1,452.13",6316.397292,
38,Liechtenstein,,,"187,267.10",
39,Albania,15157.38,2811.67,5390.881576,
40,Shqipëria,15157.38,2811.67,5390.881576,
41,Veri,3390.4,790.96,4286.436735,
42,Qender,7646.74,1178.53,6488.371106,
43,Jug,4120.24,842.18,4892.350804,
